ID_Pedido,Data,Produto,Categoria,Quantidade,Preco_Unitario,Regiao,Vendedor,Total_Venda,data_venda,valor_total,ano,mes,mes_nome,dia_semana,trimestre
1849,2025-01-01,Monitor,Informática,2,800.0,Norte,Eduardo,1600.0,2025-01-01,1600.0,2025,1,January,Wednesday,1
1678,2025-01-01,Mouse,Acessórios,1,80.0,Leste,Daniela,80.0,2025-01-01,80.0,2025,1,January,Wednesday,1
1649,2025-01-01,Mouse,Acessórios,2,80.0,Leste,Eduardo,160.0,2025-01-01,160.0,2025,1,January,Wednesday,1
1756,2025-01-01,Tablet,Eletrônicos,1,1200.0,Centro-Oeste,Ana,1200.0,2025-01-01,1200.0,2025,1,January,Wednesday,1
1992,2025-01-01,Teclado,Acessórios,4,150.0,Centro-Oeste,Daniela,600.0,2025-01-01,600.0,2025,1,January,Wednesday,1
1447,2025-01-01,Laptop,Informática,3,3500.0,Norte,Ana,10500.0,2025-01-01,10500.0,2025,1,January,Wednesday,1
1207,2025-01-02,Teclado,Acessórios,1,150.0,Norte,Daniela,150.0,2025-01-02,150.0,2025,1,January,Thursday,1
1264,2025-01-02,Teclado,Acessórios,4,150.0,Centro-Oeste,Carlos,600.0,2025-01-02,600.0,2025,1,January,Thursday,1
1064,2025-01-02,Laptop,Informática,2,3500.0,Sul,Ana,7000.0,2025-01-02,7000.0,2025,1,January,Thursday,1
1896,2025-01-03,Mouse,Acessórios,1,80.0,Centro-Oeste,Bruno,80.0,2025-01-03,80.0,2025,1,January,Friday,1
1949,2025-01-04,Tablet,Eletrônicos,1,1200.0,Sul,Eduardo,1200.0,2025-01-04,1200.0,2025,1,January,Saturday,1
1497,2025-01-04,Smartphone,Eletrônicos,1,1500.0,Leste,Ana,1500.0,2025-01-04,1500.0,2025,1,January,Saturday,1
1326,2025-01-04,Headset,Acessórios,3,250.0,Leste,Ana,750.0,2025-01-04,750.0,2025,1,January,Saturday,1
1969,2025-01-04,Monitor,Informática,2,800.0,Norte,Bruno,1600.0,2025-01-04,1600.0,2025,1,January,Saturday,1
1614,2025-01-05,Laptop,Informática,1,3500.0,Centro-Oeste,Bruno,3500.0,2025-01-05,3500.0,2025,1,January,Sunday,1
1416,2025-01-05,Tablet,Eletrônicos,2,1200.0,Sul,Bruno,2400.0,2025-01-05,2400.0,2025,1,January,Sunday,1
1721,2025-01-05,Tablet,Eletrônicos,2,1200.0,Centro-Oeste,Eduardo,2400.0,2025-01-05,2400.0,2025,1,January,Sunday,1
1129,2025-01-05,Monitor,Informática,1,800.0,Leste,Eduardo,800.0,2025-01-05,800.0,2025,1,January,Sunday,1
1843,2025-01-05,Headset,Acessórios,2,250.0,Norte,Eduardo,500.0,2025-01-05,500.0,2025,1,January,Sunday,1
1965,2025-01-06,Teclado,Acessórios,1,150.0,Norte,Bruno,150.0,2025-01-06,150.0,2025,1,January,Monday,1
1742,2025-01-06,Tablet,Eletrônicos,4,1200.0,Norte,Carlos,4800.0,2025-01-06,4800.0,2025,1,January,Monday,1
1335,2025-01-06,Mouse,Acessórios,2,80.0,Centro-Oeste,Eduardo,160.0,2025-01-06,160.0,2025,1,January,Monday,1
1935,2025-01-06,Smartphone,Eletrônicos,3,1500.0,Leste,Ana,4500.0,2025-01-06,4500.0,2025,1,January,Monday,1
1895,2025-01-07,Laptop,Informática,2,3500.0,Leste,Eduardo,7000.0,2025-01-07,7000.0,2025,1,January,Tuesday,1
1606,2025-01-07,Smartphone,Eletrônicos,3,1500.0,Centro-Oeste,Bruno,4500.0,2025-01-07,4500.0,2025,1,January,Tuesday,1
1829,2025-01-08,Teclado,Acessórios,2,150.0,Centro-Oeste,Ana,300.0,2025-01-08,300.0,2025,1,January,Wednesday,1
1688,2025-01-08,Monitor,Informática,2,800.0,Centro-Oeste,Bruno,1600.0,2025-01-08,1600.0,2025,1,January,Wednesday,1
1876,2025-01-08,Monitor,Informática,2,800.0,Leste,Bruno,1600.0,2025-01-08,1600.0,2025,1,January,Wednesday,1
1098,2025-01-09,Smartphone,Eletrônicos,2,1500.0,Centro-Oeste,Ana,3000.0,2025-01-09,3000.0,2025,1,January,Thursday,1
1270,2025-01-09,Headset,Acessórios,1,250.0,Sul,Bruno,250.0,2025-01-09,250.0,2025,1,January,Thursday,1
1602,2025-01-09,Smartphone,Eletrônicos,1,1500.0,Leste,Eduardo,1500.0,2025-01-09,1500.0,2025,1,January,Thursday,1
1715,2025-01-10,Smartphone,Eletrônicos,3,1500.0,Norte,Ana,4500.0,2025-01-10,4500.0,2025,1,January,Friday,1
1485,2025-01-10,Headset,Acessórios,2,250.0,Sul,Ana,500.0,2025-01-10,500.0,2025,1,January,Friday,1
1852,2025-01-12,Teclado,Acessórios,1,150.0,Centro-Oeste,Ana,150.0,2025-01-12,150.0,2025,1,January,Sunday,1
1682,2025-01-12,Tablet,Eletrônicos,1,1200.0,Centro-Oeste,Daniela,1200.0,2025-01-12,1200.0,2025,1,January,Sunday,1
1519,2025-01-12,Mouse,Acessórios,1,80.0,Oeste,Eduardo,80.0,2025-01-12,80.0,2025,1,January,Sunday,1
1917,2025-01-13,Tablet,Eletrônicos,4,1200.0,Sul,Ana,4800.0,2025-01-13,4800.0,2025,1,January,Monday,1
1379,2025-01-13,Laptop,Informática,1,3500.0,Centro-Oeste,Ana,3500.0,2025-01-13,3500.0,2025,1,January,Monday,1
1152,2025-01-13,Laptop,Informática,1,3500.0,Sul,Daniela,3500.0,2025-01-13,3500.0,2025,1,January,Monday,1
1555,2025-01-13,Headset,Acessórios,2,250.0,Oeste,Carlos,500.0,2025-01-13,500.0,2025,1,January,Monday,1
1051,2025-01-14,Mouse,Acessórios,2,80.0,Leste,Ana,160.0,2025-01-14,160.0,2025,1,January,Tuesday,1
1676,2025-01-14,Tablet,Eletrônicos,2,1200.0,Norte,Ana,2400.0,2025-01-14,2400.0,2025,1,January,Tuesday,1
